storeName,storeAddress,storeTel,storeHours
南二,"台北市松山區南京東路五段64號,台北市,台北市松山區,105",(02)27631237,一~日12:00AM-12:00AM
南京東,"台北市中山區南京東路三段125號,台北市,台北市中山區,10487",(02)25015861,一~日8:00AM-11:00PM
南勢角,"新北市中和區景新街420,422,424號1-2F,新北市,新北市中和區,235  ",(02)29442078        ,一~日10:00AM-11:00PM
南大,"新竹市東區南大路317、319號1-2F,新竹市,新竹市東區,300  ",(03)5610923         ,一~日9:30AM-11:00PM
南寧,"台北市松山區南京東路四段131號,台北市,台北市松山區,10580",(02)27132659,"一~五9:00AM-11:00PM
六~日10:00AM-11:00PM"
南屯,"台中市南屯區南屯路二段391號1-5F,台中市,台中市南屯區,408",(04)23812670,一~日9:30AM-11:00PM
南山,"台北市大安區通化街37號,台北市,台北市大安區,10679",(02)27064707,一~日9:00AM-2:00AM
南崁,"桃園市蘆竹區南崁路200號1-3F,桃園市,桃園市蘆竹區,338  ",(03)3129627         ,一~日9:00AM-11:00PM
南投,"南投縣南投市復興路137號1-2F,南投縣,南投縣南投市,540",(049)2234178,一~日10:00AM-10:30PM
南投2,"南投縣南投市彰南路二段26號1-3F,南投縣,南投縣南投市,540",(049)2245216,一~日10:00AM-10:00PM
南民,"台南市中西區民族路三段287號1-2樓,台南市,台南市中西區,70060",(06)2209300,一~日10:00AM-10:30PM
南竹,"桃園市蘆竹區南竹路一段60號,桃園市,桃園市蘆竹區,338  ",(03)2121069         ,一~日10:00AM-11:00PM
南華,"高雄市新興區林森一路166號1-3F,高雄市,高雄市新興區,800  ",(07)2418931         ,一~日10:00AM-11:00PM
南西二,"台北市大同區南京西路42號,台北市,台北市大同區,104",(02)25581050,一~日9:30AM-11:00PM
南西門,"台南市南區西門路一段665號,台南市,台南市南區,70245",(06)2201721,一~日10:00AM-11:00PM
南門,"桃園市桃園區南華街107、109號1-2F,桃園市,桃園市桃園區,330  ",(03)3313849         ,一~日9:00AM-10:30PM
南陽,"台北市中正區南陽街15號,台北市,台北市中正區,100",(02)23110661,一~日9:30AM-11:00PM
南雅,"新北市板橋區南雅南路一段27號1F,新北市,新北市板橋區,220",(02)29686093,一~日9:00AM-11:00PM
南青,"台南市中西區青年路148號,台南市,台南市中西區,700  ",(06)2288074         ,一~日9:30AM-11:00PM
友愛,"台南市中西區國華街二段159號,台南市,台南市中西區,700",(06)2259141,一~日10:00AM-10:30PM
台中,"台中市中區繼光街88、90號1-2F,台中市,台中市中區,400  ",(04)22239369        ,一~日10:00AM-10:30PM
台安,"台北市松山區八德路二段406號,台北市,台北市松山區,105",(02)27118985,一~日8:30AM-11:00PM
台東,"台東縣台東市正氣路171、173、175號,台東縣,台東縣台東市,950",(089)325036,一~日9:30AM-11:00PM
台東二,"台東縣成功鎮中華路63,65號,台東縣,台東縣成功鎮,96145",(089)855071,一~日10:00AM-10:00PM
右昌,"高雄市左營區後昌路651號,高雄市,高雄市左營區,813",(07)3645687,一~日10:00AM-10:30PM
吉安,"花蓮縣吉安鄉中華路二段340號,花蓮縣,花蓮縣吉安鄉,973  ",(03)8541020   ,一~日9:00AM-11:00PM
名間,"南投縣名間鄉南雅街100號1-2F,南投縣,南投縣名間鄉,551",(049)2735103,一~日10:00AM-10:00PM
后里,"台中市后里區甲后路一段447號1-2F,台中市,台中市后里區,421",(04)25588013,一~日9:30AM-11:00PM
向上,"台中市西區向上路一段459號1樓,台中市,台中市西區,40361",(04)24710371,一~日10:00AM-11:00PM
向陽,"台中市豐原區向陽路269、271號1-3F,台中市,台中市豐原區,420  ",(04)25201852        ,一~日10:00AM-11:00PM
吳興,"台北市信義區吳興街225號,台北市,台北市信義區,110",(02)27229927,一~日8:00AM-12:00AM
吳鳳南,"嘉義市東區吳鳳南路300號 1-4樓,嘉義市,嘉義市東區,60065",(05)2305171,一~日10:00AM-10:00PM
和平,"台北市大安區和平東路二段55、57號,台北市,台北市大安區,106",(02)27001139,一~日9:00AM-11:00PM
和平三,"台北市信義區和平東路三段433號1樓及435巷2號B1,台北市,台北市信義區,11057",(02)23772717,一~日10:00AM-11:00PM
和平東,"台北市大安區和平東路一段29號,台北市,台北市大安區,10643",(02)23215970,一~日10:00AM-11:00PM
和美,"彰化縣和美鎮中山路163、165號,彰化縣,彰化縣和美鎮,508",(04)7574369,一~日9:30AM-11:00PM
和順,"台南市安南區安和路四段502號,台南市,台南市安南區,709",(06)3566206,一~日9:30AM-10:30PM
哈瑪星,"高雄市鼓山區濱海一路109號,高雄市,高雄市鼓山區,804",(07)5313090,"一~五10:00AM-10:30PM
六~日9:30AM-11:00PM"
員中,"彰化縣員林鎮中正路197、199號1-2F,彰化縣,彰化縣員林鎮,510  ",(04)8377798         ,一~日10:00AM-10:00PM
員二,"彰化縣員林鎮民權街6、8號,彰化縣,彰化縣員林鎮,510  ",(04)8359146         ,一~日9:30AM-11:00PM
員山,"新北市中和區員山路198號B1-2F,新北市,新北市中和區,235",(02)22281245,一~日9:00AM-11:00PM
善化,"台南市善化區中正路440號1-3F,台南市,台南市善化區,741",(06)5833522,一~日9:00AM-10:30PM
嘉南,"台南市仁德區二仁路一段165號&165-1號1樓,台南市,台南市仁德區,71755",(06)2663211,一~日9:00AM-10:30PM
嘉文,"嘉義市東區文化路116號,嘉義市,嘉義市東區, ",(05)2163507,"日~五10:00AM-11:00PM
六10:00AM-12:00AM"
嘉樂,"嘉義市西區博愛路二段461號B1,嘉義市,嘉義市西區,600  ",(05)2863351         ,一~日10:00AM-10:30PM
嘉民,"嘉義市西區民族路455,457號,嘉義市,嘉義市西區,60045",(05)2271036,一~日10:00AM-11:00PM
嘉義2,"嘉義市西區中山路379、381、383號,嘉義市,嘉義市西區,600  ",(05)2236952         ,一~日10:00AM-11:00PM
四川,"新北市板橋區忠孝路25、27號,新北市,新北市板橋區,220",(02)89642131,一~日9:00AM-11:00PM
四維,"新北市板橋區四維路257號,新北市,新北市板橋區,220",(02)22506004,一~日10:00AM-11:00PM
園區,"新竹市東區光復路一段526號,新竹市,新竹市東區,300  ",(03)5645052         ,一~日10:00AM-11:00PM
土城,"新北市土城區學府路一段109號,新北市,新北市土城區,236",(02)22706583,一~日10:00AM-10:30PM
